transaction_date,transaction_year,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,cap_gains_over_200_usd,industry,sector,party,ticker_price,qqq_price
12/21/22,2022,GOOGL,Alphabet Inc- Class A - Sold 10K shares,purchase,500001,1000000,750001,Nancy Pelosi,CA12,CA,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,89.58,273.450012
12/20/22,2022,AMD,Advanced Micro Devices Inc,purchase,1001,15000,8001,John Curtis,UT03,UT,FALSE,Semiconductors,Technology,Republican,65.05,269.540009
12/20/22,2022,GOOGL,Alphabet Inc- Class A - Sold 10K shares,purchase,500001,1000000,750001,Nancy Pelosi,CA12,CA,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,65.05,269.540009
12/20/22,2022,ADP,Automatic Data Processing Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,65.05,269.540009
12/14/22,2022,ATVI,Activision Blizzard Inc,purchase,1001,15000,8001,Alan S. Lowenthal,CA47,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,77.04,286.51001
12/13/22,2022,IBM,International Business Machines,purchase,1001,15000,8001,Lloyd Doggett,TX35,TX,FALSE,Computer Manufacturing,Technology,Democrat,150.57,288.649994
12/12/22,2022,ATVI,Activision Blizzard Inc,purchase,1001,15000,8001,Alan S. Lowenthal,CA47,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,77.36,285.579987
12/12/22,2022,ATVI,Activison Blizzard Inc,purchase,1001,15000,8001,Alan S. Lowenthal,CA47,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,77.36,285.579987
12/9/22,2022,GTLS,Chart Industries Inc,purchase,15001,50000,32501,Alan S. Lowenthal,CA47,CA,FALSE,Electrical Products,Technology,Democrat,117.2,282.040009
12/8/22,2022,MSFT,Microsoft Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Computer Software: Prepackaged Software,Technology,Republican,247.4,283.850006
12/6/22,2022,SHLS,Shoals Technolgies Group - Inc. Class A,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Semiconductors,Technology,Democrat,24,281.679993
12/1/22,2022,INTC,Intel Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Semiconductors,Technology,Republican,29.83,293.720001
11/23/22,2022,ORCL,Oracle Inc,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,82.56,288.820007
11/21/22,2022,TWKS,Thoughtworks Holding Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,8.34,281.890015
11/18/22,2022,NTAP,NetApp Inc Stock,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,73.72,284.820007
11/18/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,73.72,284.820007
11/18/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,73.72,284.820007
