disclosure_year,disclosure_date,transaction_year,transaction_date,owner,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,ptr_link,cap_gains_over_200_usd,industry,sector,party
2022,5/27/22,2022,12/31/22,,USD-LGB,Let's Go Brandon,sale,100001,250000,175001,David Madison Cawthorn,NC11,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020894.pdf,FALSE,,,Republican
2023,1/25/23,2022,12/30/22,,SYK,Stryker Corporation,sale,100001,250000,175001,Michael C. Burgess,TX26,TX,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022259.pdf,FALSE,Medical/Dental Instruments,Health Care,Republican
2023,1/10/23,2022,12/30/22,self,,Seven Bridges Long/Short Equity Fund LP,sale,1000000,,1000000,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,self,,Seven Bridges Long/Short Equity Fund Ltd,sale,100001,250000,175001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,,,Seven Bridges Long/Short Equity Fund Series,sale,500001,1000000,750001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,self,,Seven Bridges Long/Short Equity Fund Series,sale,100001,250000,175001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,,,Seven Bridges Multi-Strategy Fund Series,purchase,250001,500000,375001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,self,,Seven Bridges Multi-Strategy Fund Series,purchase,100001,250000,175001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,,,Seven Bridges Strategic Equity Fund Series,purchase,250001,500000,375001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/10/23,2022,12/30/22,self,,Seven Bridges Strategic Equity Fund Series,purchase,100001,250000,175001,Kathy Manning,NC06,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022223.pdf,FALSE,,,Democrat
2023,1/3/23,2022,12/30/22,joint,HES,Hess Corporation,sale,50001,100000,75001,Virginia Foxx,NC05,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022211.pdf,FALSE,Oil & Gas Production,Energy,Republican
2023,1/3/23,2022,12/30/22,joint,VGR,Vector Group LTD,purchase,1001,15000,8001,Virginia Foxx,NC05,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022211.pdf,FALSE, Medicinal Chemicals and Botanical Products ,Health Care,Republican
2023,1/12/23,2022,12/30/22,self,NFLX,"Netflix Inc - Sold 1K shares at average price of 292.89 for $63,535 loss",sale,250001,500000,375001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Consumer Electronics/Video Chains,Consumer Services,Democrat
2023,5/3/23,2022,12/30/22,,FEMKX,Fidelity Emerging Markets Mututal,purchase,1001,15000,8001,Stephen F. Lynch,MA08,MA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20020981.pdf,FALSE,,,Democrat
2023,5/3/23,2022,12/30/22,,,Nationwide Investor Destination Moderate Aggressive Mutual Fund,sale,15001,50000,32501,Stephen F. Lynch,MA08,MA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20020981.pdf,FALSE,,,Democrat
2023,1/13/23,2022,12/30/22,joint,CSPCY,Pharmaceutical GRP LTF,sale,1001,15000,8001,Josh Gottheimer,NJ05,NJ,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022219.pdf,FALSE,,,Democrat
2023,1/13/23,2022,12/30/22,joint,DVN,Devon Energy Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022285.pdf,FALSE,Oil & Gas Production,Energy,Republican
2023,1/13/23,2022,12/30/22,joint,DVN,Devon Energy Corporation,purchase,15001,50000,32501,Kevin Hern,OK01,OK,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022285.pdf,FALSE,Oil & Gas Production,Energy,Republican
2023,1/13/23,2022,12/30/22,joint,LMT,Lockheed Martin Corporation,purchase,1001,15000,8001,Kevin Hern,OK01,OK,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022285.pdf,FALSE,Military/Government/Technical,Capital Goods,Republican
2023,1/9/23,2022,12/29/22,,ET,Energy Transfer LP Common Units,sale,15001,50000,32501,Mark E. Green,TN07,TN,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022193.pdf,FALSE,Natural Gas Distribution,Public Utilities,Republican
2023,1/12/23,2022,12/29/22,self,NFLX,"Netflix Inc - Sold 1K shares at average price of 290.04 for $66,385 loss",sale,250001,500000,375001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Consumer Electronics/Video Chains,Consumer Services,Democrat
2023,1/12/23,2022,12/28/22,self,AB,"Alliance Bernstein Holding LP Units - Sold 20K at average price of 32.95 for $11,510 loss",sale,500001,1000000,750001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Investment Managers,Finance,Democrat
2023,1/12/23,2022,12/28/22,self,PYPL,"PayPal Holdings Inc - Sold 5K shares at avg price of 67.77 for total loss of $429,938",sale,250001,500000,375001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Business Services,Miscellaneous,Democrat
2023,1/12/23,2022,12/28/22,self,RBLX,"Roblox Corporation Class A - Sold 5K shares @ 26.05 for $235,836 loss",sale,100001,250000,175001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,,,Democrat
2023,1/12/23,2022,12/28/22,self,GOOGL,Alphabet Inc- Class A - Sold 10K shares,sale,500001,1000000,750001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat
2023,1/12/23,2022,12/27/22,self,,REOF XX LLC,purchase,15001,50000,32501,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,,,Democrat
2023,1/2/23,2022,12/23/22,self,JEF,Jefferies Financial Group Inc,sale,1001,15000,8001,Cynthia Axne,IA03,IA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022202.pdf,FALSE,Investment Bankers/Brokers/Service,Finance,Democrat
2023,1/2/23,2022,12/23/22,self,JEF,Jefferies Financial Group Inc,sale,1001,15000,8001,Cynthia Axne,IA03,IA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022202.pdf,FALSE,Investment Bankers/Brokers/Service,Finance,Democrat
2023,1/2/23,2022,12/23/22,,JEF,Jefferies Financial Group Inc,sale,1001,15000,8001,Cynthia Axne,IA03,IA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022202.pdf,FALSE,Investment Bankers/Brokers/Service,Finance,Democrat
2023,1/13/23,2022,12/23/22,joint,SUPN,Supernus Pharmaceuticals Inc,sale,1001,15000,8001,Josh Gottheimer,NJ05,NJ,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022219.pdf,FALSE,Biotechnology: Pharmaceutical Preparations,Health Care,Democrat
2023,1/4/23,2022,12/22/22,self,AMZN,Amazon.com Inc 4.65% Due 12/09/29,purchase,15001,50000,32501,Earl Blumenauer,OR03,OR,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022225.pdf,FALSE,Catalog/Specialty Distribution,Consumer Services,Democrat
2023,1/4/23,2022,12/22/22,,SHY,iShares 1-3Yr Treasury Bond ETF,purchase,100001,250000,175001,Carol Devine Miller,WV03,WV,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022224.pdf,FALSE,,,Republican
2023,1/15/23,2022,12/22/22,,,US Treasury Bills Zero%,purchase,15001,50000,32501,Maria Elvira Salazar,FL27,FL,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022272.pdf,FALSE,,,Republican
2023,1/5/23,2022,12/21/22,,DG,Dollar General Corporation,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022227.pdf,FALSE,Department/Specialty Retail Stores,Consumer Services,Republican
2023,1/5/23,2022,12/21/22,,MCD,McDonalds Corproation,sale,1001,15000,8001,Robert J. Wittman,VA01,VA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022227.pdf,FALSE,Restaurants,Consumer Services,Republican
2023,1/5/23,2022,12/21/22,,BDN,Vanguard Total Bond Market ETF,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022227.pdf,FALSE,Real Estate Investment Trusts,Real Estate,Republican
2023,1/5/23,2022,12/21/22,,VTABX,Vanguard Total Intl Bond ETF,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022227.pdf,FALSE,,,Republican
2022,12/22/22,2022,12/21/22,,COHR,Coherent Corp,sale,1001,15000,8001,Bob Gibbs,OH07,OH,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20022166.pdf,FALSE,Biotechnology: Laboratory Analytical Instruments,Capital Goods,Republican
2022,12/22/22,2022,12/21/22,,MDT,Medtronic plc Ordinary Shares,sale,15001,50000,32501,Bob Gibbs,OH07,OH,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20022166.pdf,FALSE,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,Republican
2023,1/12/23,2022,12/21/22,self,PYPL,"PayPal Holdings Inc - Sold 5K shares at avg price of 69.10 for total loss of $424,313",sale,250001,500000,375001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Business Services,Miscellaneous,Democrat
2023,1/12/23,2022,12/21/22,self,DIS,"Walt Disney Company - Sold 10K shares @ 87.58 for $114,138 loss",sale,500001,1000000,750001,Nancy Pelosi,CA12,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf,FALSE,Services-Misc. Amusement & Recreation,Consumer Services,Democrat
2023,1/19/23,2022,12/21/22,self,,ALCORN ST UNIV EDL BLDG MS Corp M Rev Ref BDS Due 09/01/2039,purchase,50001,100000,75001,Michael Patrick Guest,MS03,MS,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022270.pdf,FALSE,,,Republican
